11,0.042869,-1,-1,-1,-1,-1,-1,-1,-1
7,0.101335,11695,59761,2.09726e-06,0.676587,3.14159,1.85155,18831.3,8.80471
8,2.39634,9420,50238,2.09726e-06,0.669538,3.14159,1.85188,18831.3,9.61379
9,1.32927,9420,50314,2.09726e-06,0.670449,3.14159,1.84834,18831.3,9.0649
10,4.98398,9420,50314,2.09726e-06,0.678135,3.14159,1.84002,18831.3,9.01798
7,0.129135,11161,57257,2.09726e-06,0.685358,3.14159,1.84,18831.3,8.43533
8,2.51064,9422,50347,2.09726e-06,0.678187,3.14159,1.84136,18831.3,9.00771
9,1.88555,9422,50368,2.09726e-06,0.678947,3.14159,1.83842,18831.3,8.86974
10,4.67507,9422,50368,2.09726e-06,0.683271,3.14159,1.83288,18831.3,8.84046
7,0.172719,10879,55917,2.09726e-06,0.689387,3.14159,1.83272,18831.3,8.37541
8,2.9375,9374,50103,2.99536e-06,0.683425,3.14159,1.83422,14672.3,8.48513
9,1.2322,9374,50108,3.20953e-06,0.683858,3.14159,1.83249,13836,8.17498
10,4.4094,9374,50108,3.20953e-06,0.687001,3.14159,1.82891,13836,8.15665
7,0.076574,10718,55178,3.20953e-06,0.692274,3.14159,1.82935,13836,7.78852
8,2.09013,9357,49986,3.20953e-06,0.686398,3.14159,1.83089,13836,8.16669
9,1.27359,9357,50002,3.20953e-06,0.686784,3.14159,1.82976,13836,8.00221
10,4.20723,9357,50002,3.20953e-06,0.689445,3.14159,1.82622,13836,7.98755
7,0.090858,10602,54608,3.20953e-06,0.693928,3.14159,1.8265,13836,7.6629
8,1.81845,9378,50099,3.20953e-06,0.689722,3.14159,1.82645,13836,7.97734
9,1.03938,9378,50110,3.20953e-06,0.689959,3.14159,1.82569,13836,7.63754
10,4.30418,9378,50110,3.20953e-06,0.691892,3.14159,1.82402,13836,7.62927
7,0.117741,10514,54224,3.20953e-06,0.695634,3.14159,1.82473,13836,7.36447
8,1.65326,9373,50070,3.20953e-06,0.691387,3.14159,1.82465,13836,7.633
9,1.05361,9373,50077,3.20953e-06,0.691511,3.14159,1.82421,13836,7.63047
10,4.20724,9373,50077,3.20953e-06,0.692518,3.14159,1.82285,13836,7.62499
11,0.072882,-1,-1,-1,-1,-1,-1,-1,-1
7,0.21179,14402,74443,3.20953e-06,0.674679,3.14159,1.84723,13836,6.86166
8,2.64445,10232,55103,3.20953e-06,0.695193,3.14159,1.83561,13836,7.19456
9,1.81253,10232,55085,3.20953e-06,0.698922,3.14159,1.82573,13836,5.12002
10,4.12118,10232,55085,3.20953e-06,0.710967,3.14159,1.81509,13836,5.04091
7,0.100669,12457,64583,3.20953e-06,0.708564,3.14159,1.82714,13836,4.97424
8,1.94607,10164,54753,3.20953e-06,0.711133,3.14159,1.81559,13836,5.03485
9,1.37416,10164,54795,3.20953e-06,0.711603,3.14159,1.81309,13836,4.86301
10,4.39452,10164,54795,3.20953e-06,0.716862,3.14159,1.80697,13836,4.8311
7,0.094464,12051,62591,3.20953e-06,0.71422,3.14159,1.81951,13836,4.79853
8,1.91211,10166,54793,3.20953e-06,0.7164,3.14159,1.80912,13836,4.83209
9,1.33877,10166,54802,0.00106181,0.71676,3.14007,1.80764,302.14,4.56727
10,4.67278,10166,54802,0.00106414,0.719783,3.14007,1.8037,301.699,4.54759
7,0.110775,11814,61443,0.00106414,0.717281,3.14007,1.81446,301.699,4.54918
8,2.21987,10149,54709,0.00106414,0.718852,3.14007,1.80538,301.699,4.55093
9,2.02112,10149,54702,0.00106414,0.71922,3.14007,1.80414,301.699,4.54019
10,4.33976,10149,54702,0.00106414,0.721316,3.14007,1.8013,301.699,4.52863
11,0.255988,-1,-1,-1,-1,-1,-1,-1,-1
7,0.69175,20911,109443,0.00106414,0.68723,3.12659,1.84508,266.042,4.69694
8,4.00551,12860,70349,0.0049373,0.72809,3.12659,1.81283,125.833,4.26127
9,2.51283,12860,70430,0.0049373,0.732271,3.12659,1.79943,125.833,4.16859
10,6.91866,12860,70430,0.0049373,0.756677,3.12659,1.77418,125.833,4.03588
7,0.24829,16276,85738,0.0049373,0.751367,3.12659,1.78918,125.833,4.08268
8,2.16527,12823,70216,0.0049373,0.755425,3.12659,1.7748,125.833,4.03462
